GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
controller/service,by.it.academy.services.exception,ServiceException,16,0,0,0,8,0,4,0,4,0
controller/service,by.it.academy.services.impl,StudentServiceImpl,81,0,0,0,27,0,4,0,4,0
controller/service,by.it.academy.services.impl,AdminServiceImpl,492,0,32,0,154,0,33,0,17,0
controller/service,by.it.academy.services.impl,TaskServiceImpl,77,0,0,0,28,0,5,0,5,0
controller/service,by.it.academy.services.impl,MentorServiceImpl,106,0,8,0,38,0,9,0,5,0
controller/service,by.it.academy.services,ServiceProvider,37,0,0,0,10,0,6,0,6,0
controller/service,by.it.academy.services,ServiceProvider.SingletonHolder,5,0,0,0,1,0,1,0,1,0
controller/service,by.it.academy.services.dto,AdminDto,217,0,38,0,14,0,30,0,11,0
controller/service,by.it.academy.services.dto,AdminMentorDto,127,0,22,0,10,0,20,0,9,0
controller/service,by.it.academy.services.dto,AssessmentTdo,196,0,38,0,12,0,28,0,9,0
controller/service,by.it.academy.services.dto,StudentDto,157,0,30,0,10,0,23,0,8,0
controller/service,by.it.academy.services.dto,TaskDto,167,0,30,0,12,0,25,0,10,0
controller/service,by.it.academy.services.dto,AdminCourseDto,127,0,22,0,10,0,20,0,9,0
